2082501863,0,0
1952538295,2082501863,0
-779978021,1952538295,2082501863
-3119649940,-779978021,1952538295
406236593,-3119649940,-779978021
1624815298,406236593,-3119649940
-2090607863,1624815298,406236593
227568678,-2090607863,1624815298
910274709,227568678,-2090607863
-653933993,910274709,227568678
1679427930,-653933993,910274709
-1505710946,1679427930,-653933993
2200513346,-1505710946,1679427930
212118793,2200513346,-1505710946
547639035,212118793,2200513346
-1803509485,547639035,212118793
1375765582,-1803509485,547639035
-3086741192,1375765582,-1803509485
1254749706,-3086741192,1375765582
7218943,1254749706,-3086741192
28613626,7218943,1254749706
1699087650,28613626,7218943
916946765,1699087650,28613626
-627311308,916946765,1699087650
-2509310766,-627311308,916946765
2349875791,-2509310766,-627311308
-2987615691,2349875791,-2509310766
934570194,-2987615691,2349875791
-556883128,934570194,-2987615691
529505952,-556883128,934570194
-638818048,529505952,-556883128
1739695105,-638818048,529505952
-942714867,1739695105,-638818048
1865841595,-942714867,1739695105
-3156806818,1865841595,-942714867
257740149,-3156806818,1865841595
2405378118,257740149,-3156806818
-342839639,2405378118,257740149
-1371293023,-342839639,2405378118
2949260087,-1371293023,-342839639
-932424660,2949260087,-1371293023
813337621,-932424660,2949260087
-1289685777,813337621,-932424660
-863644742,-1289685777,813337621
840322791,-863644742,-1289685777
-933610595,840322791,-863644742
560262774,-933610595,840322791
-2053785131,560262774,-933610595
374859605,-2053785131,560262774
3498798871,374859605,-2053785131
-889066854,3498798871,374859605
738634345,-889066854,3498798871
-3127538738,738634345,-889066854
2161659149,-3127538738,738634345
56898611,2161659149,-3127538738
-900470987,56898611,2161659149
1821214314,-900470987,56898611
-3045464436,1821214314,-900470987
2443365711,-3045464436,1821214314
-2964794996,2443365711,-3045464436
879274464,-2964794996,2443365711
-778262658,879274464,-2964794996
2758198770,-778262658,879274464
866709455,2758198770,-778262658
-827867331,866709455,2758198770
862320861,-827867331,866709455
-724899959,862320861,-827867331
-2899403226,-724899959,862320861
3003608760,-2899403226,-724899959
-2586983235,3003608760,-2899403226
1624889062,-2586983235,3003608760
-1178101847,1624889062,-2586983235
457759950,-1178101847,1624889062
955643149,457759950,-1178101847
-472198094,955643149,457759950
-1544263893,-472198094,955643149
2068350537,-1544263893,-472198094
-2643894842,2068350537,-1544263893
341848695,-2643894842,2068350537
1367198174,341848695,-2643894842
1173890935,1367198174,341848695
-496603051,1173890935,1367198174
-1089343783,-496603051,1173890935
-62211226,-1089343783,-496603051
851126885,-62211226,-1089343783
-1990366008,851126885,-62211226
628142878,-1990366008,851126885
1568092780,628142878,-1990366008
-1372953669,1568092780,628142878
3098185452,-1372953669,1568092780
-1148635658,3098185452,-1372953669
356900243,-1148635658,3098185452
-2867562933,356900243,-1148635658
3301374656,-2867562933,356900243
-1565931153,3301374656,-2867562933
-1968626247,-1565931153,3301374656
1669095446,-1968626247,-1565931153
1427617576,1669095446,-1968626247
-2423913784,1427617576,1669095446
2733827321,-2423913784,1427617576
-1949658140,2733827321,-2423913784
-1017158577,-1949658140,2733827321
2034924667,-1017158577,-1949658140
